Drill Name,Status,Shot/Type,Visuals,Focus Area,Number of Players,Singles/Doubles,Difficulty,Equipment,Time,Description,Coaching Tip,Priority,AI summary
+5 -15 / Risk it for the Biscuit,Not Implemented,Groundstrokes/Open Points,Diagram,Consistency,2,Singles,Intermediate/Advanced,None,20 mins,"Players play points out of the hand. You earn +1 point for a winner and lose -1 point for a mistake, aiming to reach +5 points or make the opponent reach -15.","Instead of focusing on hitting winners, try and stay consistent and try and force your opponent into the error.",v1,"The exercise ""+5 -15"" focuses on consistency in groundstrokes during singles play. Players earn +1 point for a winner and lose -1 point for a mistake, aiming to reach +5 points or make the opponent reach -15. It is designed for intermediate to advanced players and lasts 20 minutes."
Volley Butterfly,Not Implemented,Volley,None,Consistency,2 or 4,Singles/Doubles,Intermediate/Advanced,None,10 mins,"Players are positioned opposite each other and 1 meter inside the service line. Player 1 feeds a ball to Player 2s forehand volley and Player 2 hits to Player 1s backhand volley. Player 1 then hits it to Player 2s backhand volley, who will in turn hit it to Player 1’s forehand volley. Repeat this pattern and keep the rally going as long as possible.",Try to focus on making contact in front of your body and angle the racket towards your target.,v1,"The “Volley Butterfly” drill involves 2 or 4 players who are positioned opposite each other and 1 meter inside the service line. Player 1 feeds it to Player 2s forehand volley and Player 2 hits to Player 1’s backhand volley. Player 1 then hits it to Player 2s backhand volley, who will in turn hit it to Player 1’s forehand volley. The drill focuses on reaction time, accuracy and consistency and is suitable for intermediate to advanced players, with a duration of 10 minutes."
Top Ten,Not Implemented,Volley,None,Accuracy/Depth/Consistency,2 or 4,Singles/Doubles,Beginner/Intermediate,Cones or other markers,20 mins,"Player 1 is at the net and Player 2 is at the baseline. Player 2 must create a line of cones halfway between the service line and the net. In a rally situation, the net player must hit the ball past this line of cones 10 times. The players would then switch roles.",In order to achieve additional depth try to extend the racket head towards the target on the follow through.,v1,"The ""Top Ten"" drill involves two players, one at the net and one at the baseline, focusing on accuracy, depth, and consistency. The net player must hit the ball past the baseline 10 times, with a setup time of 20 minutes. It is suitable for beginners and intermediates and can be played in singles or doubles format."
Missing on Purpose,Not Implemented,Serve,,Accuracy,1 or 2,Singles,Beginner/Intermediate,None,10 minutes,"The player(s) lines up at the baseline for a serve. The player should intentionally aim to miss the serve to the right of the service box, then land the next serve in the service box, followed by an intentional miss to the left of the service box. The player(s) should repeat the sequence, beginning with missing to the left side of the service box first this time. Once that round is complete, the player(s) should aim to intentionally hit the serve long, then land it in the box, and finally aim for the net. The player(s) should repeat this sequence, starting with the shot into the net first.",Focus on adjusting the path of the swing and the swing speed to hit your target.,v1,"The “Missing on Purpose” drill is a 1 or 2 player serving drill. The player(s) lines up at the baseline for a serve. The player should intentionally aim to miss the serve to the right of the service box, then land the next serve in the service box, followed by an intentional miss to the left of the service box. The player(s) should repeat the sequence, beginning with missing to the left side of the service box first this time. Once that round is complete, the player(s) should aim to intentionally hit the serve long, then land it in the box, and finally aim for the net. The player(s) should repeat this sequence, starting with the shot into the net first. The drill focuses on accuracy on the serve and is suitable for beginner to intermediate players, with a duration of 10 minutes."
Serving Horses,Not Implemented,Serve,,Accuracy/Consistency,2,Singles,Intermediate,None/cones,15 mins,"Player 1 starts first calls out the serve they are going to hit (Ex: body serve), player 1 then attempts to hit the serve. If Player 1 makes the called serve, then Player 2 has to hit the same serve that Player 1 made. If Player 2 fails to duplicate the serve, they get the letter H and Player 1 calls another serve. If Player 2 fails to duplicate the second serve they get the letter O. Whoever fails to duplicate the serve of the player calling the serve first gets a letter. The first person to get the letters HORSE loses. If the player calling the serve misses then it is the other player’s turn to call the next serve.",Think about which serves are the most reliable for you and which are the least reliable for your opponent.,v1,"The “Serving Horses” drill is a 2 player serving drill. Player 1 starts first calls out the serve they are going to hit (Ex: body serve), player 1 then attempts to hit the serve. If Player 1 makes the called serve, then Player 2 has to hit the same serve that Player 1 made. If Player 2 fails to duplicate the serve, they get the letter H and Player 1 calls another serve. If Player 2 fails to duplicate the second serve they get the letter O. Whoever fails to duplicate the serve of the player calling the serve first gets a letter. The first person to get the letters HORSE loses. If the player calling the serve misses then it is the other player’s turn to call the next serve. The drill focuses on accuracy and consistency on the serve and is suitable for intermediate players, with a duration of 15 minutes."
Volley Duel,Implemented,Volley,,Attack/Accuracy/Consistency,2 or 4,Singles/Doubles,Intermediate/Advanced,None,15 mins,"Players start on the service line. This is a volley to volley points drill. Players take it in turns to feed. The feed must not land in the service box, it must go past the service line. From there the point is played out.",Try to get the ball to your opponent’s feet or at their body so they give you a higher or a weaker ball.,v1,"The “Volley Duel” is a volley points drill for 2 or 4 players, focusing on attack, accuracy, and consistency. Players start on the service line and take turns feeding the ball, ensuring the feed lands past the service line. The drill lasts 15 minutes and is suitable for intermediate to advanced players, with a priority level of Day 1."
1 serve game / Single Serve Showdown,Implemented,Serve,,Consistency,2,Singles,Intermediate,None,20 minutes,Players can either play a normal tiebreak or play points to 10 where only one player serves and then swap roles. The server only has 1 serve. The rest of the play is open,The server should focus on hitting high percentage serves. The returner should try and take the ball early off the return and dictate the point.,v1,"In the ""Single Serve Showdown"" drill, players compete in a high-pressure scoring format designed to simulate intense match situations. Players can either play a standard tiebreak or compete in points to 10, with one player serving for the duration of a round before swapping roles. The twist: the server only gets one serve per point, heightening the focus on accuracy and consistency. Once the ball is in play, the rally is open, and players battle to win each point."
X drill / Infinity / The Butterfly,Implemented,Groundstrokes,Diagram,Consistency/Accuracy,2,Singles,Intermediate,None,20 minutes,"Player 1 must play all of their shots down the line, player 2 must play all of their shots cross court. As a result each player moves side to side to retrieve the ball. ",Both players should use top spin and height over the net to avoid making mistakes and keep the rally going as long as possible.,v1,"In the ""X drill”, players sharpen their directional control and movement by adhering to specific shot patterns. Player 1 hits all their shots down the line, while Player 2 hits all their shots crosscourt. This setup forces each player to move laterally across the court to retrieve the ball, creating a fast-paced exchange that tests footwork, positioning, and accuracy. The drill emphasizes consistency and discipline as players focus on maintaining their assigned direction while adapting to the opponent’s placement. It’s an excellent exercise for improving shot precision and building endurance."
Side to side / Side 2 Side Hustle / Shuffle Hustle / Hustle and Bustle,Implemented,Groundstrokes,,Consistency/Accuracy,2,Singles,Intermediate,None,15 minutes,"Player 1 plays on 1 half of the court, player 2 plays full court. Player 1 alternates one shot to the left, one shot to the right. Player 2 moves side to side and plays only to one side.","Player 1 should focus on the direction of their shots and maintaining control as to make it challenging for Player 2 without winning the point outright. Player 2 should focus on hitting balls with more height over the net to give themself time to recover and get to the next shot. ",v1,"""Side to Side""is a drill designed to develop precision, consistency, and movement. Player 1 plays on only half the court and alternates their shots between the left and right sides of their assigned area. Meanwhile, Player 2 uses the full court, moving side to side to retrieve Player 1’s shots. However, Player 2 is restricted to hitting all their returns to just one side of Player 1’s court. This drill tests Player 1’s ability to place accurate shots under controlled conditions while challenging Player 2’s lateral movement, positioning, and consistency. It’s a great exercise to build stamina and improve directional control for both players."
Early and late / Rise and Fall,Implemented,Groundstrokes,Animation,Attack/Defense,2,Singles,Advanced,None,20 minutes,Players 1 and 2 rally with each other. Player 1 must stay in front of the baseline and take the ball early/on the rise. Player 2 must take a few steps back from the baseline and hit the ball as it is coming down.,"Player 1 should focus on positioning themselves so to hit the ball before it rises above their shoulder, with a flator a high to low racket path. Player 2 should focus on moving backwards to allow the ball to drop and then use a low to high racket path to lift the ball up and over the net.",v1,"The ""Rise and Fall"" drill focuses on timing and adaptability as players practice contrasting styles of play. Player 1 stays in front of the baseline and works on taking the ball early, hitting it on the rise to maintain an aggressive position. Meanwhile, Player 2 steps a few feet behind the baseline, focusing on hitting the ball as it descends, prioritizing control and depth. This drill challenges both players to adjust their timing and footwork, with Player 1 emphasizing quick preparation and Player 2 practicing patience and defensive positioning. It’s an excellent exercise for developing versatility and shot consistency."
